Title,Note,URL,Tags,Comment
Red Rooster Harlem,,https://www.google.com/maps/place/Red+Rooster+Harlem/data=!4m2!3m1!1s0x89c2f60d270bc615:0xa326bd13f740fe9c,,
Oasis Jimma Juice Bar,,https://www.google.com/maps/place/Oasis+Jimma+Juice+Bar/data=!4m2!3m1!1s0x89c2f7006faf12bf:0x4a825f1ff8937ee8,,
Oasis Jimma Juice Bar,,https://www.google.com/maps/place/Oasis+Jimma+Juice+Bar/data=!4m2!3m1!1s0x89c2f66a0bfea0d9:0x6f3aa3c3ae48c826,,
Misi,,https://www.google.com/maps/place/Misi/data=!4m2!3m1!1s0x89c259fa53acb4c3:0x75e745e94a922113,,
3 Dollar Bill,,https://www.google.com/maps/place/3+Dollar+Bill/data=!4m2!3m1!1s0x89c25b721fba39ef:0x77e96b33c1b5e8de,,
Rao's,,https://www.google.com/maps/place/Rao's/data=!4m2!3m1!1s0x89c2f5fdbf406db3:0x41676ee46d5cf8cf,,
Bong,,https://www.google.com/maps/place/Bong/data=!4m2!3m1!1s0x89c25b005b5cb5ab:0xb392c0a91a1bff41,,
Crown Shy,,https://www.google.com/maps/place/Crown+Shy/data=!4m2!3m1!1s0x89c25a16344bffff:0xd7c97b5c890e7912,,
McNally Jackson Books Seaport,,https://www.google.com/maps/place/McNally+Jackson+Books+Seaport/data=!4m2!3m1!1s0x89c25b4700d54c73:0x29696472fdc2d30e,,
Radio Bakery,,https://www.google.com/maps/place/Radio+Bakery/data=!4m2!3m1!1s0x89c259f7069ad989:0x7eadffe63191e6a5,,
Books Are Magic,,https://www.google.com/maps/place/Books+Are+Magic/data=!4m2!3m1!1s0x89c25a50e3114a39:0x25ab158c95cccde6,,
Books Are Magic,,https://www.google.com/maps/place/Books+Are+Magic/data=!4m2!3m1!1s0x89c25b490315868f:0x6f1406592e3211b6,,
Dinosaur Bar-B-Que,,https://www.google.com/maps/place/Dinosaur+Bar-B-Que/data=!4m2!3m1!1s0x89c2f64267a7c6a5:0xc32504d8a73c6ba1,,
Keens Steakhouse,,https://www.google.com/maps/place/Keens+Steakhouse/data=!4m2!3m1!1s0x89c259a92938cde7:0xa89dbb19d96569cc,,
Edith’s Sandwich Counter,,https://www.google.com/maps/place/Edith%E2%80%99s+Sandwich+Counter/data=!4m2!3m1!1s0x89c259b533959bff:0x4fe0fc46527c50b6,,
Raf's,,https://www.google.com/maps/place/Raf's/data=!4m2!3m1!1s0x89c2594d5a944f25:0x9111fd9fadca5092,,
Vato,,https://www.google.com/maps/place/Vato/data=!4m2!3m1!1s0x89c25b968bde4691:0x769e64005389f6fe,,
Sela V Hotel,,https://www.google.com/maps/place/Sela+V+Hotel/data=!4m2!3m1!1s0x89c25bc134bcceeb:0x3f95bf8efd839619,,
Underground Thrift Store,,https://www.google.com/maps/place/Underground+Thrift+Store/data=!4m2!3m1!1s0x89c25a379bcc7833:0x53fb2a7a21a9c25e,,
401 Broadway,,https://www.google.com/maps/place/401+Broadway/data=!4m2!3m1!1s0x89c2598a71754f9f:0xb32150f6ffdd3893,,
